review,name,location,stars
"The last time I was here, I was disgusted!!! One of the employee who were making my tacos was filthy!! I couldn't stand seeing my food was being handled with a unsanized. This employee was on he's phone, rubbing he's ears with the same hand to prepare my food. They ran out of chicken and one of the managers was somewhere who knows what he's doing in the back. Is horrible.!!",Maryrose R.," 

Mission, San Francisco, CA",1
"This place is a total dump. For the thousand time, they don't have any chicken. WTF? The staff are complete idiots and the restaurant is dirty, I will NOT go in there ever again.","Steven M.
","San Francisco, CA",1
"Well, first off the place is a little run down. Had a BBQ sandwich. Meat over cooked and chewy. The bread was pressed down flat like someone stepped on it and the potato wedges were over cooked. Have eaten at much better kfc's."," 
Mark C.
","Ione, CA",2
The service here is horrible and the employees don't seem to care if  you're happy with the food or not.," 
Lauren M.
","Laguna Beach, CA",1
"I don't write reviews.  I'm not sure anyone reads them.  However I'm sending this to the owner of the KFC/Taco Bell on Duboce in SF.  A few years ago, I met you and told you how you had a great team. They were respectful, trained well, efficient, etc.  I moved away and have now returned and over the last month, I've visited your store on a couple of occasions.  You seem to be a man of great pride.  Here is my advice; fire EVERYONE IN THE STORE AND START OVER.  Your team is always playing with each other.  They get visitors (friends) all the time.  They are slow.  They don't care about customers.  Today, a 4 year old asked for a cup of water and they said they had no cups.  It's a 4 year old!   What would it have taken to give her a cup of water???!!!!!!   A customer's rider was wrong and instead of fixing it, they told him to get in line again.  You need to step in and get rid of these people.  If you are the same owner, I know you care.  If you are a new owner, you need to care.  I own a couple of businesses and if my team behaved like this they would be gone.","Antonio B.
","Oakland, CA",1
They have terrible service. I asked for no mayonnaise (allergic) and they gave me more then enough for one person. When I went back up there they were very rude and disrespectful. Don't recommend this establishment at all 0/10,"Tiffany J.
","San Francisco, CA",1
"KFC a longtime ago.It's a very delicious visit.As I love eating.
KFC is a best or most super fast food outlet.Its deserve to visit at this place for eating fast food at town.
It's crispy chicken broast is very authentic food.Specially with French fries.And best
sauce .Its a worth visiting place .
It's a nice place to visit at night after evening for dine.
Please visit KFC for happy moments and also for crispy stomach if you love food.
Good food is good for health.
Keep visiting KFC."," 
Tahira H.",,5
Worst KFC ever. Ordered breasts twice. They sent me drumsticks - both times!  I will never order from this place again.  Avoid this location. It sucks.," 
Frank W.","San Francisco, CA",1
"NEVER eat at this location. The MANAGER just passed me a soda that was dripping down the cup. I explained that he needs to clean that off. He proceeds to WIPE HIS BARE HANDS DOWN MY CUP!!!!When I told him to make me another he asked if I was serious? Then gets mad, announces to the line that he had to go wash his hands. He comes back to the register with an attitude, rings me up and tells me someone will call me name for food. I was floored. As I explained above this is the manager. He had on all black with a gold name tag. This is beyond customer service. This is a food safety concern at this point.

I called corporate immediately after leaving and threw my food away. WTF?! No","Sophie P.
","San Francisco, CA",1
Discovered an insect in my pureed potatoes don't eat there chicken taste old what was seared In old oil I'm calling the wellbeing office on Monday to report KFC on Eddy at.," 
Matthew M.
","San Francisco, CA",1
Picked up a large order of this comfort food. Still tasty and perfect with a movie on the couch.,"Suesf 6.
","San Francisco, CA",5
"Delivery fail. We ordered in excess of $47 in food via DoorDash and only HALF of the food arrived!
AND No answer when we called the KFC store.
This is extremely frustrating considering we spent almost half a hundy and we are trying to support local businesses in this stressful time.
They may try to blame DoorDash but the bag was stapled shut so I don't think the driver snagged a Scooby snack for himself.
I'm hungry...","Maurice L.
","Hayward, CA",1
KFC has changed the quality of chicken they use and it's awful now. The pieces are super tiny with virtually no meat on them...vastly different from what their chicken used to be like. I literally ate 4 pieces of chicken and I was still hungry. Guess they're trying to save money but they've lost me as a customer.,"Michelle C.
","San Francisco, CA",1
"DO NOT ORDER FROM HERE. Give your business to restaurants that actually provide good food and good service. This KFC does neither. Every time I order delivery from here, I receive the wrong thing.  If I order thighs and legs, I always receive mostly breasts. EVERY TIME. It's almost as if they're doing it on purpose. Not only that - most of the chicken is undercooked - it's all going in the trash. Disgusting. Nobody working here seems to give a shit. And nobody from KFC ever responds to my reviews - proof that even management doesn't give a shit. I am DONE. And delivery adds so much to the order since Grub Hub adds about 40% in fees to what should be a relatively inexpensive order. By the time you add a tip you might as well get food from a more upscale restaurant.
KFC - work on your customer service - you're the next to go out of business.","Michelle C.
","San Francisco, CA",1
"Chicken is good but both times I ordered delivery from this location the order was incorrect.  First time, I ordered a 12 piece bucket and received an 8 piece bucket. Second time, I ordered legs and thighs and received a mix.  The employees at this location clearly don't give a shit.  Won't order from here again.

Corporate - if you read these reviews, you might want to consider closing this location.  Or hire employees who actually give a shit. There are a lot of people who are out of work who would actually care if they did a good job.","Michelle C.
","San Francisco, CA",3
"Fried chickens and coleslaw with mashed potatoes with gravy make a happy meal for you, what else are you looking for","Angela T.
","San Francisco, CA",4
"KFC fix my order and hook me up! Thanks again you guys! This is the KFC of the tenderloin/never tenda/always ruffff! But u can count on good entertainment, great management & staff! folks inside good management and they always do what they do with a smile!!","Cecily B.
","San Francisco, CA",5
The KFC in Asia are gourmet but in USA it's known to be bad. Surprisingly after my suicidal KFC run the chicken tasted better than expected,"Lulu Y.
","San Francisco, CA",4
"This is a review just for the dudes who helped me out about a year ago with charging my phone. Super helpful and chill.
","Adam C.
","Kings Beach, CA",5
"Oh fuck yea get Me a chicken Samich extra pickles slurp that shit up and grab me a cookie
","Kah Chow C.
","San Francisco, CA",4
"Went to try the 2 chicken sandwiches for $2. The cashier kept trying to charge me like $7 and kept ringing it up wrong for like 10 minutes even though the $2 deal was clearly displayed in the menu. I got so frustrated I ended up leaving without ordering.Also overheard someone got a razor pulled on them while I was there so yeah. I've been all over SF and safety is generally not a corner but this place is shady as fuck.

","Ben W.
","San Francisco, CA",1
"The service was friendly and fast, and the food was hot and delicious. I'm not going to rate this place lower just because there was a homeless man inside. He didn't bother anyone, and didn't detract at all from my experience. I'd personally be far more bothered by a snotty woman wishing for gentrification all because she just can't understand why a fast food establishment would let homeless people inside.

Maybe if people stopped worrying about what everyone else is doing, they'd be able to enjoy what's in front of them, like the delicious KFC this place serves.
","Katy N.
","Shafter, CA",5
"This location did not impress me because they failed to include my three pieces of chick tenders. Now they over charged me they ripped me off!!!! It was the closest KFC
I drove half way out of the city and when I was going to eat it was too late to go back!!!!!
","
Russell H.
","San Francisco, CA",2
"Something is seriously wrong with this KFC/Taco Bell. It's as if corporate forgot this place existed and let it run itself to the ground. Seriously. This place isn't like the other KFC and Taco Bell's. This place is ghetto as heck. The workers are ghetto. The dining are is ghetto. The food is ghetto. The people are ghetto. The pets are ghetto. Everything ghetto.
","John D.
","San Francisco, CA",1
"We all know how this story goes right? yelp.com/biz/taco-bell-s…

But I digress, KFC is not Taco Bell and Taco Bell isn't KFC. They may share the same roof and counter, hell, even the same workers, but hardly one in the same. Do I really feel like the late colonel's basket over the same snoozefest of Taco Bell? Tenderloin standards, that's a yes.

To eat KFC here happily is one thing, but to settle for it is the more likely scenario. When all the shops of the wonderful Little Saigon are closed, guess who's open? KFC. You can't stomach the wait at Brenda's (yelp.com/biz/brendas-fre…), who's just around the corner? KFC. When you feel like getting your fingers disgustingly greasy and touching the same surfaces that have graced many a hobo in the most unflattering scenarios imaginable, who's up for it? That's right baby, KFC.

There is no glory in eating here. Merely stories meant to be told for later. I could share many wonderful accounts that range from craziness to straight up absurd, but that's to be written for another date.

In the meantime, I can reveal that I had my first and only Double Down Sandwich (yelp.com/biz_photos/kfc-…) here and clearly, I lived to tell the tale.

Ok, one weird story: I witnessed a guy tweaking out and managed to order himself a family sized bucket of chicken. After tossing a wad of crumpled up dollar bills on the counter he looked like he was doing the robot dance, except he was hopping up and down. When his chicken was ready and on the counter, he took the entire bucket with him and went into the restroom and locked the door. My group and I waited for close to 30 minutes, hoping for something epic. He never came out.
",Jando S.,"Queens, NY",3
"It was an awful experience! The so called manager was so incompetent he almost gave someone else my order. Then I checked my order and found my biscuit missing! He never apologized and bragged about being professional. I waited 25 minutes for 2 boxes of 2 pieces of chicken..He shoved both orders in one box with one biscuit.The place was half filled with people not ordering or eating , just sitting there with their dogs.I worked in food service for 46 years. This was awful!This place now sucks!!!No more from THIS store!
",Kevin G.,"San Francisco, CA",1
Place is closed again by the health department!  2 times in the past year I would avoid at all costs as ownership does not care!,"Jason L.
","San Francisco, CA",1
"If you come here dont count of them having anything in stock!  How do you have a taco bell and run out of beans?  Come back a couple of days later a even longer list of things we dont have like chicken, chips, nacho sauce!

Either management does not care or they are close to closing!","Jason L.
","San Francisco, CA",1
"Employees and management dont care and it shows!

Lobby is nasty with lots of garbage all over the tables, the floor and overflowing cans!

Seating limit is non enforced!  fall asleep/pass out they dont care and bring all of your personal items in!

Outside of the building is nasty and clearly shows a lack of caring about their customers, and neighbors!

I would go anywhere but here!","Jason L.
","San Francisco, CA",1
Place is closed now by the health department.  Sign in window is closed until further notice,"Jason L.
","San Francisco, CA",1
"Group order for a meal: they left out the biscuits. Ordered a chicken sandwich meal, which was also left out. 2 things completely missing from an order. Basically, this KFC store pocketed the $$ for these items that were not included in an order.

Unacceptable. What else could be said?","Alison A.
","San Francisco, CA",1
"They made me wait an entire hour and the order hasn't even been picked up! If I knew it was going to take this long, I would've ordered else where! Why am I paying this service fee for? Ya'll not doing your damn job making sure these orders get to your hungry customers. 0 STARS",Raven M.,"
San Francisco, CA",1
"Where's the nearest one from work?
Yes, here and parking isn't that difficult either.
A friend's fried chicken craving drew me here.  
After buying something at the Walgreen's up the block, I walked here and ordered my usual suspects for myself.
Crispy taco supreme (yelp.com/user_local_phot…).  Check.
Cole slaw.  Check.
Apple turnovers (yelp.com/user_local_phot…).  Check again.
Coming on a Monday, was able to score on their daily special too (yelp.com/user_local_phot…).  
Please bear in the mind the neighborhood is sketchy, being in the Tenderloin.  Wouldn't stop by here after dark unless necessary.   Brenda's is just a few doors down so this can be a pre-meal snack for those growling stomachs.  If you work downtown or near Civic Center/City Hall, this is the closest one.  I usually stop at the Geary and 6th Ave. one, but, on this day, this location made sense.","Mike C.
","San Francisco, CA",4
"For the past week and a half there has been NO hot wings!! Unbelievable. And the excuse given is the ""manager is the one who orders that"".......how about I call the Colonel Sanders personally and report this atrocity!!

Pissed and hungry!!","Naja W.
","San Francisco, CA",1
"Every time I see a Taco Bell/KFC the same joke pops in my head.

[ghetto voice]  ""I WORK 2 JOBS!"" [/ghetto voice]

That, coupled with the fact that there is never a dull moment in this location, warrants a review.

I work in this neighborHOOD so, if you know the area well enough, options are in your favor. Everything from banh mi, food trucks, pho, power exchange...you name it, its here. And on those days you don't feel like making an executive decision and your palate is feeling feisty, some greasy ass KFC will fit the bill.

I wont review KFC or Taco Bell... this review is strictly about the experience that this location offers.

10/28/14 - 12:31pm: it's a Tuesday. You know song ""club going up on a Tuesday?"". Well, CB must have missed the fact that KFC offers a 2 piece for $1.99 on Tuesday. You have every walk of life in here; suits, techies, homeless, more homeless, dogs?, and just some questionable characters.

I walked in with a life half way out the door, every one in dire need of some chicken. To my left, a toothless woman dancing to Cher. To my right, a hefty lady in sweatpants and a tank top yelling at a worker for more hot sauce and behind me a guy wearing google glasses (see: glasshole).... You cant make this stuff up.
I challenge you to order and eat in house, the circus continues. Within a 10 minute span, I was asked for change twice, some guy blaring yung joc on his phone, and I think some old Chinese lady farted in front of me.

Now, is a sanitary restaurant is one of your non-negotiables, keep walking down to Brenda's. If you want lunch and a show without spending those silly asiaSF prices... come here. In fact, I think I've seen some asiaSF ""ladies"" in line waiting on tacos.

God I love you, SF."," 
Ryan L.
","Austin, TX",3
"My friend and I were craving KFC after a walk/jog so we headed by the one closest to home.  This one is not in the best area and the clientele are a bit interesting.  I saw the comments of the other reviewers, but I thought the cashier was really trying to provide good customer service and helped us pick the right meal combo to suit our needs.  They did run out of regular Pepsi and were low on coin change, but they gave us lots of hot sauce, butter, honey and ketchup and lots of patience so I could not complain.  I would come back, especially since this one is the closest to me.

I brought my $20 fill up meal for my bf and I including both white and dark meat original, mash potatoes and gravy, coleslaw and corn on the cob, and it was all so yummy!  It covered us for lunch and diner the following day.  We were happy!"," 
Maile N.
","San Francisco, CA",3
"Not bad what else do you expect from a well known chain?
customer service was great!"," 
Heng T.","San Jose, CA",4
"Kalya at the register was amazing! Great recommendations, great customer service, great personality. Made the visit what is was. Spectacular!",Kari M.,"
Tenderloin, San Francisco, CA",5
"
COVID-19 Updates 
Edit

""Our team is committed to providing you with easy and safer access to the home-style meals you love. We are continuously updating our safety procedures across all 4,000+ of our U.S. restaurants and ensuring that once the chicken leaves our fryers, the only hands to touch i…""

Read more

Posted on October 29, 2020

Updated Services
Drive-thruDeliveryTakeout
Menu
Apple Turnovers
Apple Turnovers

1 Photo 1 Review
Chicken Strips
Chicken Strips

1 Photo 1 Review
Taco Supreme
Taco Supreme

1 Photo 1 Review
Location & Hours
Map
691 Eddy St

San Francisco, CA 94109

b/t Polk St & Larkin St

Tenderloin

Mon

11:00 AM - 10:00 PM

Tue

11:00 AM - 10:00 PM

Wed

11:00 AM - 10:00 PM

Closed now
Thu

11:00 AM - 10:00 PM

Fri

11:00 AM - 10:00 PM

Sat

11:00 AM - 10:00 PM

Sun

11:00 AM - 10:00 PM

Edit business info
Amenities and More
Offers Delivery
Offers Takeout
No Reservations
Accepts Credit Cards

About the Business
The New Kentucky Fried Chicken Sandwich is finally here! With an extra crispy filet and premium
pickles and mayo on a Brioche Bun, it's the only Chicken Sandwich that's Finger Lickin' Good. Swing
by any drive-thru or order ahead on the KFC app.

Ask the Community 
Ask a question

Q:

How is this business handling reopening? What safety measures are they taking? Are they offering sit-down dining?

A:

No answers yet. Answer this question
Q:

Why did they close, are they coming back?

A:

No answers yet. Answer this question
Recommended Reviews
Your trust is our top concern, so businesses can't pay to alter or remove their reviews. Learn more.

Search within reviews
 
Search within reviews
Yelp Sort 
Username
Location
00






Start your review of KFC.
Raven M.
San Francisco, CA
340147
 10/27/2019
They made me wait an entire hour and the order hasn't even been picked up! If I knew it was going to take this long, I would've ordered else where! Why am I paying this service fee for? Ya'll not doing your damn job making sure these orders get to your hungry customers. 0 STARS

Mike C.
Elite '2021

San Francisco, CA
79214008503
 4/27/2015
4 photos
Where's the nearest one from work?
Yes, here and parking isn't that difficult either.
A friend's fried chicken craving drew me here.  
After buying something at the Walgreen's up the block, I walked here and ordered my usual suspects for myself.
Crispy taco supreme (yelp.com/user_local_phot…).  Check.
Cole slaw.  Check.
Apple turnovers (yelp.com/user_local_phot…).  Check again.
Coming on a Monday, was able to score on their daily special too (yelp.com/user_local_phot…).  
Please bear in the mind the neighborhood is sketchy, being in the Tenderloin.  Wouldn't stop by here after dark unless necessary.   Brenda's is just a few doors down so this can be a pre-meal snack for those growling stomachs.  If you work downtown or near Civic Center/City Hall, this is the closest one.  I usually stop at the Geary and 6th Ave. one, but, on this day, this location made sense.

Naja W.
San Francisco, CA
1117
 10/15/2017
For the past week and a half there has been NO hot wings!! Unbelievable. And the excuse given is the ""manager is the one who orders that"".......how about I call the Colonel Sanders personally and report this atrocity!!

Pissed and hungry!!

Business owner information
Mark H.

Business Customer Service

10/16/2017

Naja, thank you for your review.  I am very sorry we did not meet your quality service expectations.  Please look for a Private Message so that we may personally address this issue for you.

Read more

Ryan L.
Austin, TX
1596332428
 10/29/2014
1 photo
Every time I see a Taco Bell/KFC the same joke pops in my head.

[ghetto voice]  ""I WORK 2 JOBS!"" [/ghetto voice]

That, coupled with the fact that there is never a dull moment in this location, warrants a review.

I work in this neighborHOOD so, if you know the area well enough, options are in your favor. Everything from banh mi, food trucks, pho, power exchange...you name it, its here. And on those days you don't feel like making an executive decision and your palate is feeling feisty, some greasy ass KFC will fit the bill.

I wont review KFC or Taco Bell... this review is strictly about the experience that this location offers.

10/28/14 - 12:31pm: it's a Tuesday. You know song ""club going up on a Tuesday?"". Well, CB must have missed the fact that KFC offers a 2 piece for $1.99 on Tuesday. You have every walk of life in here; suits, techies, homeless, more homeless, dogs?, and just some questionable characters.

I walked in with a life half way out the door, every one in dire need of some chicken. To my left, a toothless woman dancing to Cher. To my right, a hefty lady in sweatpants and a tank top yelling at a worker for more hot sauce and behind me a guy wearing google glasses (see: glasshole).... You cant make this stuff up.
I challenge you to order and eat in house, the circus continues. Within a 10 minute span, I was asked for change twice, some guy blaring yung joc on his phone, and I think some old Chinese lady farted in front of me.

Now, is a sanitary restaurant is one of your non-negotiables, keep walking down to Brenda's. If you want lunch and a show without spending those silly asiaSF prices... come here. In fact, I think I've seen some asiaSF ""ladies"" in line waiting on tacos.

God I love you, SF.

Insulting.

Maile N.
Elite '2021

San Francisco, CA
3271568884
 9/7/2015
My friend and I were craving KFC after a walk/jog so we headed by the one closest to home.  This one is not in the best area and the clientele are a bit interesting.  I saw the comments of the other reviewers, but I thought the cashier was really trying to provide good customer service and helped us pick the right meal combo to suit our needs.  They did run out of regular Pepsi and were low on coin change, but they gave us lots of hot sauce, butter, honey and ketchup and lots of patience so I could not complain.  I would come back, especially since this one is the closest to me.

I brought my $20 fill up meal for my bf and I including both white and dark meat original, mash potatoes and gravy, coleslaw and corn on the cob, and it was all so yummy!  It covered us for lunch and diner the following day.  We were happy!

Heng T.
San Jose, CA
393538
 5/2/2017
Not bad what else do you expect from a well known chain?
customer service was great!

Business owner information
Mark H.

Business Customer Service

5/8/2017

Heng, thank you for your review!  Please look for a Private Message!

Read more

Kari M.
Tenderloin, San Francisco, CA
892
 2/26/2018
Kalya at the register was amazing! Great recommendations, great customer service, great personality. Made the visit what is was. Spectacular!

Jon L.
Elite '2021

San Francisco, CA
2039841139
 4/17/2010
1 photo
I Double Downed at KFC last night and am oddly unapologetic about it. [yelp.com/biz_photos/ZJch… Yes that's two fried chicken filets encasing two pieces of bacon, two melted slices of Monterey Jack and pepper jack cheese and the Colonel's Sauce. Curiosity (and 7 beers) killed the cat and I'm kinda glad it did.

Rationally, it's a heart attack waiting to happen but the mind doesn't work that way late at night. It's offensive to look at but you viscerally want to put in your mouth anyway. It was a quick grab and go meal - I was on my way in under 5 minutes. The Double Down is surprisingly easy to eat on the run but keep lots of napkins handy.

This KFC, by virtue of its location, has a mixed bag of folks in it. But like I said earlier, you're in and out in no time. So don't over-intellectualize the Double Down sandwich- how obscene it is, how many calories (540 according to KFC), or what have you... just try it to say you did it. You might oddly enjoy it as much as I did."," 
Jon L.
","San Francisco, CA",4
"This is a interesting KFC.  The suburban KFC's are pretty boring. This one located in the Tenderloin has a diverse clientele. Regular people, homeless people, hookers, and trannies. I have been coming to this place on and off for several years. I have seen a lot of weird stuff happening at this KFC.

Since this place also has a Taco Bell Franchise, the food selection is very good. The customer service is also very good. Some of the staff already memorized my first name even though I do not come to this place that often.

The regular menu items are  good. There are some hits and misses though. The pacific shrimp taco was bland and overpriced. However, the KFC Double Down is pretty good. It is also low in carbs. This item is basically KFC's version of the Chicken Cordon Bleu. It is Haute French cuisine KFC style, with KFC prices. Moreover, it is also KFC's answer to Carl's Jr. Low Carb Six Dollar Burger.","Hiroshi K.
",サンフランシスコ,3
